name,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,HybRatio,FCSP3
CN1C(=S)S\\C(=C/c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4cc5sc(C)cc5s4)c4sc(cc4c(-c4cc5sc(C)cc5s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3/SC(=S)N(C)C3=O)cc2C)C1=O,0,0,2,42,8,6,0,0,0,0.12903225806451613,0.12903225806451613
COc1c2cc(sc2c(OC)c2cc(sc12)-c1sc(\\C=C2/SC(=S)N(C)C2=O)c2sc(C)cc12)-c1sc(\\C=C2/SC(=S)N(C)C2=O)c2sc(C)cc12,0,0,2,22,4,2,0,0,0,0.16666666666666666,0.16666666666666666
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3ccc(C)s3)c3nsnc23)c2nsnc12,0,0,0,40,10,6,0,0,2,0.13793103448275862,0.13793103448275862
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc([se]2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc([se]2)-c2c(F)c(F)c(-c3ccc(s3)-c3ccc(C)s3)c3nsnc23)c2nsnc12,0,0,0,40,10,6,0,0,2,0.13793103448275862,0.13793103448275862
CN1C(=S)S\\C(=C\\c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3\\SC(=S)N(C)C3=O)cc2C)C1=O,0,0,2,52,12,8,0,0,0,0.1282051282051282,0.1282051282051282
CN1C(=S)S\\C(=C/c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3/SC(=S)N(C)C3=O)cc2C)C1=O,0,0,2,38,8,6,0,0,0,0.13793103448275862,0.13793103448275862
CN1C(=S)S\\C(=C\\c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3\\SC(=S)N(C)C3=O)cc2C)C1=O,0,0,2,52,12,8,0,0,0,0.1282051282051282,0.1282051282051282
CN1C(=O)S\\C(=C/c2sc(-c3cc4sc5c(-c6ccc(C)s6)c6c(sc7cc(sc67)-c6sc(\\C=C7/SC(=O)N(C)C7=S)c7cc(C)sc67)c(-c6ccc(C)s6)c5c4s3)c3sc(C)cc23)C1=S,0,0,2,32,6,4,0,0,0,0.125,0.125
Cc1cc(\\C=c2/sc(=C(C#N)C#N)n(C)c2=O)sc1-c1cc(C)c(s1)-c1cc(C)c(s1)-c1cc2sc(cc2s1)-c1sc(cc1C)-c1sc(cc1C)-c1sc(\\C=c2/sc(=C(C#N)C#N)n(C)c2=O)cc1C,4,0,4,28,8,6,0,0,0,0.16666666666666666,0.15384615384615385
CSc1cc2sc(cc2s1)-c1c2cc(sc2c(-c2cc3sc(SC)cc3s2)c2cc(sc12)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C,0,0,4,40,8,4,0,0,0,0.12903225806451613,0.12903225806451613
COc1c2cc(sc2c(OC)c2cc(sc12)-c1c(F)c(F)c(-c2cc3n(C)c4cc(C)sc4c3s2)c2nsnc12)-c1c(F)c(F)c(-c2cc3n(C)c4cc(C)sc4c3s2)c2nsnc12,0,0,0,32,6,2,0,0,0,0.13636363636363635,0.13636363636363635
COc1c2cc(sc2c(C)c2cc(sc12)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C,0,0,2,31,7,5,0,0,0,0.16,0.16
Cc1ccc(s1)-c1c2ccsc2c(-c2ccc(C)s2)c2cc(sc12)-c1c(F)c(F)c(-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2c(F)c(F)c(-c3cc4c(-c5ccc(C)s5)c5sccc5c(-c5ccc(C)s5)c4s3)c3nsnc23)c2nsnc12,0,0,2,48,16,6,0,0,0,0.08333333333333333,0.08333333333333333
CN1C(=S)S\\C(=C/c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3/SC(=S)N(C)C3=O)cc2C)C1=O,0,0,2,38,8,6,0,0,0,0.13793103448275862,0.13793103448275862
COC(=O)C(=C\\c1ccc(s1)-c1cc(C)c(s1)-c1cc(C)c(s1)-c1cc2c(-c3ccc(C)s3)c3sc(cc3c(-c3ccc(C)s3)c2s1)-c1sc(cc1C)-c1sc(cc1C)-c1ccc(\\C=C(/C#N)C(=O)OC)s1)\\C#N,2,0,2,36,10,6,0,0,0,0.14285714285714285,0.13793103448275862
CN1C(=S)S\\C(=C\\c2ccc(s2)-c2sc(cc2C)-c2sc(cc2C)-c2cc3c(cc4c5sc(cc5c(cc4c3s2)-c2ccc(C)s2)-c2cc(C)c(s2)-c2cc(C)c(s2)-c2ccc(\\C=C3\\SC(=S)N(C)C3=O)s2)-c2ccc(C)s2)C1=O,0,0,2,40,10,6,0,0,0,0.12903225806451613,0.12903225806451613
Cc1ccc(s1)-c1ccc(s1)-c1cnc(-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2ncc(-c3ccc(s3)-c3ccc(C)s3)c3nsnc23)c2nsnc12,0,0,2,52,6,4,0,0,0,0.11764705882352941,0.11764705882352941
CN1C(=S)S\\C(=C/c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4ccc(s4)-c4ccc(C)s4)c4sc(cc4c(-c4ccc(s4)-c4ccc(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3/SC(=S)N(C)C3=O)cc2C)C1=O,0,0,2,46,8,6,0,0,0,0.12121212121212122,0.12121212121212122
COC(=O)c1nc2c(-c3ccc(s3)-c3ccc(C)s3)c(F)c(F)c(-c3cc4c(-c5cc(C)c(C)s5)c5sc(cc5c(-c5cc(C)c(C)s5)c4s3)-c3c(F)c(F)c(-c4ccc(s4)-c4ccc(C)s4)c4nc(C(=O)OC)c(nc34)C(=O)OC)c2nc1C(=O)OC,0,0,4,40,10,6,0,0,0,0.15625,0.15625
Cc1cc(\\C=c2\\sc(=C(C#N)C#N)n(C)c2=O)sc1-c1cc(C)c(s1)-c1cc(C)c(s1)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(cc1C)-c1sc(cc1C)-c1sc(cc1C)-c1sc(\\C=c2\\sc(=C(C#N)C#N)n(C)c2=O)cc1C,4,0,4,32,10,8,0,0,0,0.17857142857142858,0.16666666666666666
CN1C(=O)S\\C(=C/c2sc(-c3cc4c(-c5ccc(C)s5)c5sc(cc5c(-c5ccc(C)s5)c4s3)-c3sc(\\C=C4/SC(=O)N(C)C4=S)c4cc(C)sc34)c3sc(C)cc23)C1=S,0,0,2,28,6,4,0,0,0,0.13636363636363635,0.13636363636363635
CN1C(=S)S\\C(=C/c2cc(C)c(s2)-c2cc3sc(cc3s2)-c2sc(cc2C)-c2cc3c(-c4cc(C)c(C)s4)c4sc(cc4c(-c4cc(C)c(C)s4)c3s2)-c2cc(C)c(s2)-c2cc3sc(cc3s2)-c2sc(\\C=C3/SC(=S)N(C)C3=O)cc2C)C1=O,0,0,2,40,10,8,0,0,0,0.15625,0.15625
Cc1cc(\\C=c2/sc(=C(C#N)C#N)n(C)c2=O)sc1-c1cc(C)c(s1)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(cc1C)-c1sc(cc1C)-c1sc(\\C=c2/sc(=C(C#N)C#N)n(C)c2=O)cc1C,4,0,4,26,8,6,0,0,0,0.17391304347826086,0.16
CN1C(=S)S\\C(=C/c2sc(-c3cc4c(C)c5sc(cc5c(C)c4s3)-c3sc(\\C=C4/SC(=S)N(C)C4=O)c4sc(C)cc34)c3cc(C)sc23)C1=O,0,0,2,20,6,4,0,0,0,0.16666666666666666,0.16666666666666666
CN1c2ccc(cc2Oc2cc(ccc12)-c1ccc(-c2sc(C=C(C#N)C#N)cc2C)c2nsnc12)-c1ccc(-c2sc(C=C(C#N)C#N)cc2C)c2nsnc12,4,0,0,26,10,2,0,0,0,0.07692307692307693,0.06976744186046512
COc1c2cc(sc2c(OC)c2cc(sc12)-c1ccc2N(C)c3ccc(C=C4C(=O)c5ccccc5C4=O)cc3Sc2c1)-c1ccc2N(C)c3ccc(C=C4C(=O)c5ccccc5C4=O)cc3Sc2c1,0,0,0,42,12,0,0,0,0,0.06896551724137931,0.06896551724137931
CN1C(=S)S\\C(=C/c2cc(C)c(s2)-c2ccc(s2)-c2sc(-c3sc(-c4sc(-c5ccc(s5)-c5sc(\\C=C6/SC(=S)N(C)C6=O)cc5C)c5cc(C)sc45)c4C(=O)N(C)C(=O)c34)c3sc(C)cc23)C1=O,0,0,4,30,6,4,0,0,0,0.14285714285714285,0.14285714285714285
Cc1ccc(s1)-c1ccc(s1)-c1cnc(-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2c(F)cc(-c3cc4c(s3)-c3sc(cc3[Si]4(C)C)-c3cc(F)c(-c4cc5c(s4)-c4sc(cc4[Si]5(C)C)-c4ncc(-c5ccc(s5)-c5ccc(C)s5)c5nsnc45)c4nsnc34)c3nsnc23)c2nsnc12,0,0,2,54,6,2,0,0,0,0.11428571428571428,0.11428571428571428
CN1c2ccc(cc2Sc2cc(ccc12)C([C](c1ccc(cc1)[C](C#N)C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1)=C(C#N)C#N)C#Cc1ccc(cc1)N(c1ccccc1)c1ccccc1,4,2,0,48,8,0,0,2,0,0.05084745762711865,0.015384615384615385
CN1C(=S)S\\C(=C/c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3/SC(=S)N(C)C3=O)cc2C)C1=O,0,0,2,38,8,6,0,0,0,0.13793103448275862,0.13793103448275862
Cn1c(-c2ccc(s2)-c2cc3ccc4cccc5ccc(c2)c3c45)c2c(c(-c3ccc(s3)-c3cc(F)c(cc3F)-c3ccc(s3)-c3n(C)c(=O)c4c(-c5ccc(s5)-c5cc6ccc7cccc8ccc(c5)c6c78)n(C)c(=O)c34)n(C)c2=O)c1=O,0,0,4,42,20,0,0,0,0,0.05714285714285714,0.05714285714285714
Cc1ccc(s1)-c1ccc(s1)-c1cnc(-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2nc3c(-c4ccc(C)s4)c4sc(nc4c(-c4ccc(C)s4)c3s2)-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2ncc(-c3ccc(s3)-c3ccc(C)s3)c3nsnc23)c2nsnc12,0,0,4,50,4,4,0,0,0,0.12121212121212122,0.12121212121212122
COc1c2cc(sc2c(OC)c2cc(sc12)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C,0,0,2,32,6,4,0,0,0,0.16,0.16
CN1c2ccc(C=C3C(=O)c4ccccc4C3=O)cc2Sc2cc(ccc12)-c1ccc(cc1)N(c1ccccc1)c1ccccc1,0,0,0,34,6,0,0,0,0,0.024390243902439025,0.024390243902439025
COC(=O)C(=C\\c1cc(C)c(s1)-c1ccc(s1)-c1sc(cc1C)-c1cc2c(cc3c4sc(cc4c(cc3c2s1)-c1ccc(C)cc1)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C(/C#N)C(=O)OC)cc1C)-c1ccc(C)cc1)\\C#N,2,0,2,38,16,6,0,0,0,0.125,0.12121212121212122
CN1C(=S)S\\C(=C\\c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc(F)c(s2)-c2sc(cc2F)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3\\SC(=S)N(C)C3=O)cc2C)C1=O,0,0,2,32,4,4,0,0,0,0.13043478260869565,0.13043478260869565
CN1C(=S)S\\C(=C/c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3/SC(=S)N(C)C3=O)cc2C)C1=O,0,0,2,66,16,10,0,0,0,0.12244897959183673,0.12244897959183673
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc(s2)-c2cnc(s2)-c2n(C)c(=O)c3c(-c4ncc(s4)-c4ccc(s4)-c4cc5c(s4)-c4cc6c(cc4C5(C)C)-c4sc(cc4C6(C)C)-c4ccc(s4)-c4c(F)c(F)c(-c5ccc(s5)-c5ccc(C)s5)c5nsnc45)n(C)c(=O)c23)c2nsnc12,0,0,6,60,18,10,0,0,4,0.16,0.16
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2c(F)c(F)c(-c3ccc(s3)-c3ccc(C)s3)c3nsnc23)c2nsnc12,0,0,0,32,4,2,0,0,0,0.1,0.1
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc([se]2)-c2c(F)c(F)c(-c3ccc([se]3)-c3cc4c(s3)-c3cc5c(cc3C4(C)C)-c3sc(cc3C5(C)C)-c3ccc(s3)-c3c(F)c(F)c(-c4ccc(s4)-c4ccc(C)s4)c4nsnc34)c3nsnc23)c2nsnc12,0,0,0,60,18,10,0,0,4,0.15217391304347827,0.15217391304347827
CN1\\C(=C\\[C]2C(=O)[C](C2=O)c2c(O)cc(cc2O)N2[C@H]3CCC[C@@H]3c3cc(ccc23)C#N)C(C)(C)c2cc(ccc12)-c1cc2sc3-c4cc5c(cc4C(c3c2s1)(c1ccc(C)cc1)c1ccc(C)cc1)-c1sc2cc(sc2c1C5(c1ccc(C)cc1)c1ccc(C)cc1)-c1ccc2N(C)\\C(=C\\[C]3C(=O)[C](C3=O)c3c(O)cc(cc3O)N3[C@H]4CCC[C@H]4c4cc(ccc34)C#N)C(C)(C)c2c1,2,0,0,62,24,8,8,6,4,0.24561403508771928,0.20689655172413793
Cc1ccc(s1)-c1c2cc(sc2c(-c2ccc(C)s2)c2cc(sc12)-c1sc(cc1C)-c1cc(C)c(C=C2C(=O)c3ccccc3C2=O)s1)-c1sc(cc1C)-c1cc(C)c(C=C2C(=O)c3ccccc3C2=O)s1,0,0,0,40,14,6,0,0,0,0.1,0.1
CN1c2ccc(cc2Oc2cc(ccc12)-c1ccc(s1)-c1sc(C=C(C#N)C#N)cc1C)-c1ccc(s1)-c1sc(C=C(C#N)C#N)cc1C,4,0,0,26,6,2,0,0,0,0.08571428571428572,0.07692307692307693
Cc1cc(\\C=c2\\sc(=C(C#N)C#N)n(C)c2=O)sc1-c1cc(C)c(s1)-c1cc2sc(cc2s1)-c1sc(cc1C)-c1sc(\\C=c2\\sc(=C(C#N)C#N)n(C)c2=O)cc1C,4,0,4,22,6,4,0,0,0,0.15789473684210525,0.14285714285714285
Cc1ccc(s1)-c1ccc(s1)-c1cnc(-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2ncc(-c3ccc(s3)-c3ccc(C)s3)c3nsnc23)c2nsnc12,0,0,2,30,2,2,0,0,0,0.10526315789473684,0.10526315789473684
Cc1cc(C=C2C(=O)c3ccccc3C2=O)sc1-c1ccc(s1)-c1sc(cc1C)-c1cc2c(s1)-c1sc(cc1C21c2cc(ccc2-c2ccc(cc12)C(C)(C)C)C(C)(C)C)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(C=C2C(=O)c3ccccc3C2=O)cc1C,0,0,0,46,18,10,0,0,3,0.16883116883116883,0.16883116883116883
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3cc4c(s3)-c3cc5c(cc3C4(C)C)-c3sc(cc3C5(C)C)-c3ccc(s3)-c3c(F)c(F)c(-c4ccc(s4)-c4cc5c(s4)-c4cc6c(cc4C5(C)C)-c4sc(cc4C6(C)C)-c4ccc(s4)-c4c(F)c(F)c(-c5ccc(s5)-c5ccc(C)s5)c5nsnc45)c4nsnc34)c3nsnc23)c2nsnc12,0,0,0,80,26,14,0,0,6,0.15873015873015872,0.15873015873015872
Cn1c(=O)c2cccc3c(ccc(c23)c1=O)C#Cc1ccc(C#Cc2ccc(cc2)N(c2ccccc2)c2ccccc2)c2nsnc12,0,4,2,26,8,0,0,0,0,0.02702702702702703,0.024390243902439025
COc1cc(-c2ccc(s2)-c2sc(cc2C)-c2sc(\\C=C3\\SC(=S)N(C)C3=O)cc2C)c(OC)cc1-c1ccc(s1)-c1sc(cc1C)-c1sc(\\C=C2\\SC(=S)N(C)C2=O)cc1C,0,0,2,28,6,4,0,0,0,0.17391304347826086,0.17391304347826086
Cc1ccc(s1)-c1ccc(s1)-c1cc(F)c(-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2c(F)c(F)c(-c3ccc(s3)-c3ccc(C)s3)c3nsnc23)c2nsnc12,0,0,0,32,4,2,0,0,0,0.1,0.1
Cn1c(-c2cccs2)c2c(c(-c3ccc(s3)-c3cc4OC(C)(C)c5cc(sc5-c4s3)-c3ccc(s3)-c3n(C)c(=O)c4c(-c5cccs5)n(C)c(=O)c34)n(C)c2=O)c1=O,0,0,6,25,5,2,0,1,0,0.16279069767441862,0.16279069767441862
Cc1ccc(s1)-c1sc(cc1C)-c1sc(cc1C)-c1nnc(nn1)-c1cc(C)c(s1)-c1cc(C)c(s1)-c1cc2c(-c3ccc(C)s3)c3sc(cc3c(-c3ccc(C)s3)c2s1)-c1sc(cc1C)-c1sc(cc1C)-c1nnc(nn1)-c1cc(C)c(s1)-c1cc(C)c(s1)-c1ccc(C)s1,0,0,4,46,12,12,0,0,0,0.16216216216216217,0.16216216216216217
CN1C(=S)S\\C(=C/c2cc3n(C)c4cc(sc4c3s2)-c2cc3n(C)c4cc(sc4c3s2)-c2cc3n(C)c4cc(\\C=C5/SC(=S)N(C)C5=O)sc4c3s2)C1=O,0,0,2,28,0,0,0,0,0,0.13513513513513514,0.13513513513513514
Cc1ccc(s1)-c1ccc(s1)-c1cc(F)c(-c2cc3c(s2)-c2cc4c(cc2[Si]3(C)C)-c2sc(cc2[Si]4(C)C)-c2c(F)cc(-c3ccc(s3)-c3ccc(C)s3)c3nsnc23)c2nsnc12,0,0,0,36,6,2,0,0,0,0.125,0.125
Cc1ccc(s1)-c1ccc(s1)-c1ccc(s1)-c1cc(F)c(-c2cc3sc4-c5cc6c(cc5C(c4c3s2)(c2ccc(C)cc2)c2ccc(C)cc2)-c2sc3cc(sc3c2C6(c2ccc(C)cc2)c2ccc(C)cc2)-c2c(F)cc(-c3ccc(s3)-c3ccc(s3)-c3ccc(C)s3)c3nsnc23)c2nsnc12,0,0,0,60,18,6,0,0,2,0.09302325581395349,0.09302325581395349
CSc1c2cc(sc2c(SC)c2cc(sc12)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C,0,0,2,32,6,4,0,0,0,0.16,0.16
COc1c2cc(sc2c(OC)c2cc(sc12)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C,0,0,2,32,6,4,0,0,0,0.16,0.16
Cc1cc(\\C=c2/sc(=C(C#N)C#N)n(C)c2=O)sc1-c1cc(C)c(s1)-c1cc(C)c(s1)-c1ccc(s1)-c1ccc(s1)-c1sc(cc1C)-c1sc(cc1C)-c1sc(\\C=c2/sc(=C(C#N)C#N)n(C)c2=O)cc1C,4,0,4,30,8,6,0,0,0,0.16,0.14814814814814814
Cc1ccc(s1)-c1ccc(s1)-c1cnc(-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2ccc(-c3cc4c(s3)-c3sc(cc3[Si]4(C)C)-c3ccc(-c4cc5c(s4)-c4sc(cc4[Si]5(C)C)-c4ncc(-c5ccc(s5)-c5ccc(C)s5)c5nsnc45)c4nsnc34)c3nsnc23)c2nsnc12,0,0,2,54,6,2,0,0,0,0.11428571428571428,0.11428571428571428
Cc1ccc(s1)-c1ccc(s1)-c1ncc(-c2cc3c(-c4cc(C)c(C)s4)c4sc(cc4c(-c4cc(C)c(C)s4)c3s2)-c2cnc(-c3ccc(s3)-c3ccc(C)s3)c3nc(C)c(C)nc23)c2nc(C)c(C)nc12,0,0,2,38,8,10,0,0,0,0.1724137931034483,0.1724137931034483
